Cluster,id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
cluster0,ID12102,40,MALE,TOWN,"$30,085",YES,3,YES,NO,YES,YES,NO
cluster0,ID12103,51,FEMALE,INNER_CITY,"$16,575",YES,0,YES,YES,YES,NO,NO
cluster0,ID12108,58,MALE,TOWN,"$24,947",YES,0,YES,YES,YES,NO,NO
cluster0,ID12109,37,FEMALE,SUBURBAN,"$25,304",YES,2,YES,NO,NO,NO,NO
cluster0,ID12110,54,MALE,TOWN,"$24,212",YES,2,YES,YES,YES,NO,NO
cluster0,ID12111,66,FEMALE,TOWN,"$59,804",YES,0,NO,YES,YES,NO,NO
cluster0,ID12112,52,FEMALE,INNER_CITY,"$26,659",NO,0,YES,YES,YES,YES,NO
cluster0,ID12115,36,MALE,RURAL,"$19,475",YES,0,NO,YES,YES,YES,NO
cluster0,ID12116,38,FEMALE,INNER_CITY,"$22,342",YES,0,YES,YES,YES,YES,NO
cluster0,ID12120,31,MALE,TOWN,"$22,523",YES,0,YES,YES,YES,NO,NO
cluster0,ID12122,50,MALE,TOWN,"$16,497",YES,2,NO,YES,YES,NO,NO
cluster0,ID12123,54,MALE,INNER_CITY,"$38,447",YES,0,NO,YES,YES,NO,NO
cluster0,ID12125,22,MALE,INNER_CITY,"$12,640",NO,2,YES,YES,YES,NO,NO
cluster0,ID12126,56,MALE,INNER_CITY,"$41,034",YES,0,YES,YES,YES,YES,NO
cluster0,ID12127,45,MALE,INNER_CITY,"$20,810",YES,0,NO,YES,YES,YES,NO
cluster0,ID12129,39,FEMALE,INNER_CITY,"$29,359",NO,3,YES,NO,YES,YES,NO
cluster0,ID12133,45,MALE,SUBURBAN,"$23,443",YES,1,YES,YES,YES,NO,YES
cluster0,ID12134,33,FEMALE,INNER_CITY,"$29,921",NO,3,YES,YES,NO,NO,NO
cluster0,ID12137,19,MALE,RURAL,"$10,953",YES,3,YES,YES,YES,NO,NO
cluster0,ID12139,43,FEMALE,TOWN,"$18,504",YES,0,YES,YES,YES,NO,NO
cluster0,ID12142,47,FEMALE,INNER_CITY,"$26,953",YES,0,YES,NO,YES,NO,NO
cluster0,ID12145,20,MALE,INNER_CITY,"$13,740",NO,2,YES,YES,YES,YES,NO
cluster0,ID12150,47,FEMALE,RURAL,"$17,867",YES,2,YES,YES,NO,NO,NO
cluster0,ID12158,28,MALE,INNER_CITY,"$23,125",YES,0,NO,YES,YES,NO,YES
cluster0,ID12163,47,MALE,INNER_CITY,"$27,023",YES,2,NO,YES,YES,NO,NO
cluster0,ID12164,20,MALE,INNER_CITY,"$11,700",YES,0,NO,YES,NO,NO,NO
cluster0,ID12165,21,MALE,TOWN,"$5,014",NO,0,YES,YES,YES,YES,NO
cluster0,ID12166,42,MALE,INNER_CITY,"$17,390",YES,0,NO,YES,YES,NO,NO
cluster0,ID12171,25,MALE,INNER_CITY,"$14,065",YES,3,YES,YES,YES,NO,NO
cluster0,ID12173,36,MALE,INNER_CITY,"$31,982",YES,3,YES,YES,YES,YES,YES
cluster0,ID12179,30,FEMALE,INNER_CITY,"$14,725",YES,0,YES,NO,YES,NO,NO
cluster0,ID12182,30,MALE,INNER_CITY,"$27,808",NO,3,NO,NO,YES,NO,NO
cluster0,ID12186,36,MALE,INNER_CITY,"$31,683",YES,1,YES,YES,YES,NO,YES
cluster0,ID12187,25,FEMALE,INNER_CITY,"$15,525",YES,0,NO,YES,YES,NO,NO
cluster0,ID12189,30,MALE,SUBURBAN,"$15,849",YES,0,YES,YES,NO,YES,NO
cluster0,ID12194,61,MALE,INNER_CITY,"$42,579",YES,2,YES,YES,YES,NO,NO
cluster0,ID12195,61,FEMALE,INNER_CITY,"$41,127",YES,0,YES,YES,NO,NO,NO
cluster0,ID12196,18,FEMALE,INNER_CITY,"$9,990",YES,0,NO,YES,YES,NO,NO
cluster0,ID12200,18,FEMALE,RURAL,"$15,349",YES,0,YES,NO,YES,NO,NO
cluster0,ID12202,27,FEMALE,INNER_CITY,"$11,604",YES,2,YES,YES,YES,NO,NO
cluster0,ID12206,43,MALE,TOWN,"$32,396",YES,3,YES,YES,YES,NO,NO
cluster0,ID12207,49,MALE,RURAL,"$46,633",YES,0,YES,YES,NO,NO,NO
